symbol,entryTimestampUtc,closeTime,distanceFromEma200H1Pct,slPct,fvgGapSizePct,waitedCandlesCount,breaksKeyZone,atrH1Pct,hourOfDayUtc,dayOfWeekUtc,trendAgeH1Candles,atrPercentileH1,momentumM15Pct3Candles,keyZoneDistancePct,rollingWinRateSameSymbol20,concurrentOpenPositionsCount,won
SOLUSDT,1770261300000,1770282900000,-15.609132298745351,1.1129296235679171,0.03273322422258716,1,false,2.345107502384449,3,4,182,77,-0.19769357495880574,2.2858701582105825,0.4,0,false
HYPEUSDT,1770281100000,1770290100000,9.806424930970154,1.50788607083022,0.6990582933733818,1,false,2.970945537047303,8,4,111,39,1.260199192775625,1.1619518429081874,0.5,1,false
SOLUSDT,1770329700000,1770335100000,-24.195136601251896,1.3303769401330354,1.478196600147823,7,false,3.260786142367499,22,4,201,98,-4.05075646656905,10.343270099367654,0.4,0,true
BTCUSDT,1770349500000,1770352200000,-17.065183292075456,1.0709324800039908,0.6624968945458067,16,false,2.7502868558175657,3,5,200,98,-0.6981983039729989,12.930824803425395,0.6,0,false
BTCUSDT,1770362100000,1770373800000,-15.63339534903789,0.9510148023805846,0.4636044559743673,2,false,2.694299497652702,7,5,203,97,-2.005415480680418,10.29462332773793,0.6,0,false
HYPEUSDT,1770372000000,1770374700000,3.207256996194552,1.3450166978154967,0.8885076135911,2,false,4.113893273241566,10,5,136,92,1.535443930246115,5.423134479442079,0.45,2,true
ETHUSDT,1770371100000,1770384600000,-18.2484669982581,0.8598643681731065,0.3649635036496327,12,false,3.136105564273904,9,5,200,89,-2.0167346063076486,1.5253403737640379,0.5,1,false
HYPEUSDT,1770384600000,1770387300000,7.169561375553228,0.9755091214523474,0.6218502254575629,4,false,3.7110315476536497,13,5,139,83,0.5853087503658054,1.3961682685034913,0.5,0,false
HYPEUSDT,1770432300000,1770434100000,0.2622903927953596,0.5868803836809388,1.7543306092828097,3,false,3.3257942321362943,2,6,1,23,1.6053028399095337,7.850607027973046,0.5,0,true
HYPEUSDT,1770435000000,1770438600000,0.2622903927953596,1.1101202373996653,0.23985977428581123,1,false,3.3257942321362943,3,6,1,23,0.5968230649159866,5.111143901643656,0.5,1,true
BTCUSDT,1770434100000,1770447600000,-6.844003106260422,0.9733452918838916,0.24794749877153463,15,false,1.8080956068566985,3,6,223,67,-0.8788003125122871,0.657039751855374,0.55,0,true
HYPEUSDT,1770442200000,1770449400000,1.0244821773364472,0.8995777492197663,0.7588274891377441,1,false,3.2592843024257125,5,6,3,17,0.7863655835016152,4.570768436551988,0.5,1,false
HYPEUSDT,1770456600000,1770461100000,2.556900723741996,0.9061352278884999,0.2859895237521791,1,false,2.931019194885499,9,6,7,1,2.360025546668277,2.7003431874284765,0.45,0,false
XRPUSDT,1770472800000,1770478200000,-9.241620338911417,0.6827880512091077,0.09246088193455597,1,false,2.5171586418960747,14,6,239,56.00000000000001,-1.3263722308452044,1.3762446657183485,0.45,0,false
HYPEUSDT,1770483600000,1770489900000,-2.2309729999509083,1.6821491338187227,0.7124027115239778,1,false,2.7872248718249684,17,6,2,3,-1.886968997567204,0.8713167324766657,0.4,0,false
HYPEUSDT,1770519600000,1770522300000,-3.0188945554426665,0.7215874924834572,0.803873785485968,1,true,2.348408602164089,3,0,7,2,-1.582098959974784,0.03366257441011909,0.4,0,true
SOLUSDT,1770547500000,1770551100000,-9.182556849213796,0.6055758683729446,0.6855575868372878,1,true,1.4429069833146109,10,0,262,6,-1.1422044545973729,0.2342321755027403,0.45,0,false
HYPEUSDT,1770556500000,1770564600000,-1.773721209049417,0.6307556452630341,0.12299735082628337,2,false,2.215954586540468,13,0,17,6,-2.234148776834751,0.29435263445609083,0.45,0,true
HYPEUSDT,1770565500000,1770567300000,-1.5050248402895021,0.9257197391442672,0.06680451725782487,1,false,2.1061805108310563,15,0,20,1,-1.4588607594936773,3.672305816234573,0.5,0,false
XRPUSDT,1770567300000,1770569100000,-5.335507255022474,0.7231404958677654,0.661157024793392,3,true,1.5068330629323254,16,0,265,8,-1.8062397372742185,0.6404958677685857,0.4,0,true
SOLUSDT,1770591600000,1770593400000,-8.032176274637512,0.6365082973403072,0.23869061150262327,11,false,1.426696906434745,23,0,274,10,-0.36413290851159896,0.7558536030916189,0.4,0,true
HYPEUSDT,1770598800000,1770600600000,2.573103194624694,0.8239149744249391,0.27565928512357596,1,false,1.9979003678640344,1,1,7,6,1.1744397521654701,4.210490882773809,0.45,2,true
ETHUSDT,1770619500000,1770625800000,-5.849126738630569,0.572355974685736,0.14741047334605972,1,false,1.3786569701671274,6,1,269,5,-0.8749282845668258,0.9897628948151765,0.5,2,true
ETHUSDT,1770646500000,1770648300000,-8.018742478132244,0.5432967205706063,0.4421040221641483,1,true,1.3343444692791904,14,1,276,2,-1.1485541614918984,0.013263120664923557,0.5,2,false
HYPEUSDT,1770647400000,1770653700000,-2.600843027648198,1.2239403994240334,0.2441620234145212,18,false,1.7846349552266203,14,1,4,1,-1.5205113883199852,3.255493645526846,0.45,2,true
HYPEUSDT,1770669900000,1770674400000,-0.8461312051727577,0.8339865182630561,0.018811725975859,1,false,1.9497039209767097,20,1,11,12,-0.2662907268170453,6.549043134322931,0.5,3,true
HYPEUSDT,1770684300000,1770686100000,-3.0764779273887806,0.5637411915438884,0.20179372197309045,1,false,1.8472150710783564,0,2,15,3,-1.171564101747802,5.107362327093261,0.55,3,false
ETHUSDT,1770696000000,1770697800000,-5.569267441293382,0.7126491646777965,1.181861575179008,2,false,1.5252609247119688,4,2,290,38,-1.597079625827076,1.0673592587393013,0.5,3,true
XRPUSDT,1770658200000,1770706800000,-3.242764882997304,1.0075914423740473,0.6073153899240953,1,false,1.6335091081508768,17,1,290,37,-0.787945811445955,0.314393068016278,0.4,2,true
HYPEUSDT,1770723000000,1770724800000,-7.340592064343733,0.5908271580212403,0.4940249682889368,3,false,1.836454569525877,11,2,25,2,-1.0906430804016856,1.109948990314826,0.5,2,true
BTCUSDT,1770594300000,1770734700000,-4.294661590991367,1.8314161890824934,0.7308481585133377,1,true,1.1182770129431883,23,0,268,20,-0.5646648484138691,0.2540855806432903,0.6,0,true
SOLUSDT,1770594300000,1770750000000,-8.115729572245199,2.355238970588232,0.24126838235295028,1,false,1.581004285847867,23,0,275,23,-0.2764340013821641,0.8540134803921637,0.4,1,true
SOLUSDT,1770755400000,1770759900000,-9.05763185247764,0.6149023390402762,0.04822763443452139,1,false,1.4423330638987064,20,2,319,15,-0.1812469792170199,0.04822763443452139,0.45,0,true
HYPEUSDT,1770789600000,1770791400000,-7.809060145641371,0.5410773603643754,0.26368959967125005,1,false,1.6610056253802297,6,3,44,1,-0.037803285449169124,1.5913838567172374,0.55,0,false
