symbol,entryTimestampUtc,closeTime,distanceFromEma200H1Pct,slPct,fvgGapSizePct,waitedCandlesCount,breaksKeyZone,atrH1Pct,hourOfDayUtc,dayOfWeekUtc,trendAgeH1Candles,atrPercentileH1,momentumM15Pct3Candles,keyZoneDistancePct,rollingWinRateSameSymbol20,concurrentOpenPositionsCount,won
ETHUSDT,1750075200000,1750085100000,1.0150781656159864,0.7160069110565432,0.01992100555106412,1,false,0.8309627891536608,12,1,6,37,-0.13492284935652676,3.742826323228279,0.3,1,true
SOLUSDT,1750040100000,1750118400000,2.947940970357333,2.3110193015299103,0.7488218965851118,1,false,1.3573807491654715,2,1,0,85,3.492063492063493,2.156743057731405,0.4,0,false
HYPEUSDT,1750137300000,1750149000000,5.707140964862032,1.1198340288092072,0.8463587712473815,9,false,2.199051135554068,5,2,97,70,1.7187241778218514,1.1049029084250914,,1,false
ETHUSDT,1750133700000,1750155300000,0.48459353215229917,0.6329359837122905,1.021867180579091,5,false,1.311841633751622,4,2,1,76,1.143759162872227,9.431018691101954,0.35,0,false
SOLUSDT,1750177800000,1750179600000,-3.3093862334654527,0.6282085922723635,0.12834369089435135,4,false,1.2210965254374058,16,2,8,63,-1.4766804757450274,0.059486694517681786,0.35,0,true
SOLUSDT,1750180500000,1750186800000,-4.29690738578852,0.8932224192008743,0.013636983499256943,1,false,1.2478452529053692,17,2,9,66,-1.0170870626525632,1.0009982971253046,0.4,0,false
XRPUSDT,1750180500000,1750187700000,-2.7149915868301235,0.5359205359205385,0.42966042966043366,1,false,1.1482666510971808,17,2,2,93,-1.4998623979451504,4.6556191819348305,0.35,1,false
ETHUSDT,1750186800000,1750188600000,-3.5041840227822183,1.300260450943084,0.10170748926089294,14,false,1.2381664653900437,19,2,14,82,-2.195932703012057,5.486062368567709,0.3,1,false
HYPEUSDT,1750226400000,1750230900000,0.7120751114447215,1.2071938901207242,0.25622074402562006,4,false,2.1145564319760046,6,3,1,62,1.7835791151853357,0.16440831074978776,,0,false
HYPEUSDT,1750257900000,1750259700000,-2.262855310273313,0.8690285149981403,1.1603505740032243,20,false,2.4362004837825726,14,3,8,91,-1.323554831222069,1.259338941106662,0.55,0,true
SOLUSDT,1750260600000,1750266900000,-4.145758273722915,0.5209047292666147,0.013708019191233881,2,false,1.1227451093801635,15,3,31,43,-0.7043698283525961,0.2505380219968325,0.4,0,true
HYPEUSDT,1750277700000,1750279500000,-6.35224091990726,0.6147434227663379,0.7554050533993205,1,true,2.5582113521057406,20,3,13,90,-2.5154798761609944,0.39202917426413375,0.55,0,false
SOLUSDT,1750309200000,1750313700000,-2.835549420384297,0.557785184681329,0.07482484184748332,16,false,1.1410422824848758,5,4,45,37,0.5546805450934755,1.005646402078095,0.4,0,true
HYPEUSDT,1750334400000,1750344300000,-6.447927511888432,1.242104145655299,0.14066564042676702,2,false,2.1913437208765294,12,4,29,40,-1.6421735264892008,0.6104357980784461,0.55,0,true
HYPEUSDT,1750367700000,1750374900000,-9.055292935888467,1.9239767691503067,0.2312075087391021,2,false,2.4778168938415273,21,4,38,60,-0.9856828193832515,1.3538221982800982,0.55,0,false
